response,age,income,response_pt_2,age_range,trigrams
we are getting by month by month but no savings and credit card purchases are higher no extras either,51.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  we are getting by month by month but no savings and credit card purchases are higher no extras either ,45-54,"[('getting', 'month', 'month'), ('month', 'month', 'savings'), ('month', 'savings', 'credit'), ('savings', 'credit', 'card'), ('credit', 'card', 'purchases'), ('card', 'purchases', 'higher'), ('purchases', 'higher', 'extras'), ('higher', 'extras', 'either')]"
Its awful to have no income at all horrible feeling,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Its awful to have no income at all horrible feeling ,55-64,"[('awful', 'income', 'horrible'), ('income', 'horrible', 'feeling')]"
It has made me anxious.,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me anxious.,65+,[]
my roommate is in the hospital alone because I cannot get there for him,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  my roommate is in the hospital alone because I cannot get there for him ,45-54,"[('roommate', 'hospital', 'alone'), ('hospital', 'alone', 'get')]"
Its hard for me yo get foid,28.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Its hard for me yo get foid,25-34,"[('hard', 'yo', 'get'), ('yo', 'get', 'foid')]"
owe taxes,40.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  owe taxes,35-44,[]
Tightened up on spending due to cut hours,35.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Tightened up on spending due to cut hours,35-44,"[('tightened', 'spending', 'due'), ('spending', 'due', 'cut'), ('due', 'cut', 'hours')]"
It has impacted me very badly,21.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has impacted me very badly,18-24,[]
We are struggling to nessary provi  bills and buy ions.,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are struggling to nessary provi  bills and buy ions.       ,55-64,"[('struggling', 'nessary', 'provi'), ('nessary', 'provi', 'bills'), ('provi', 'bills', 'buy'), ('bills', 'buy', 'ions')]"
It tough,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It tough,35-44,[]
We are struggling to nessary provi  bills and buy ions.,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are struggling to nessary provi  bills and buy ions.       ,55-64,"[('struggling', 'nessary', 'provi'), ('nessary', 'provi', 'bills'), ('provi', 'bills', 'buy'), ('bills', 'buy', 'ions')]"
Broke,49.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Broke,45-54,[]
Need dental work,25.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Need dental work,25-34,"[('need', 'dental', 'work')]"
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,"[('still', 'owe', 'landlord'), ('owe', 'landlord', '1000')]"
Struggling month to month,34.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Struggling month to month,25-34,"[('struggling', 'month', 'month')]"
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,"[('fine', 'hoping', 'second'), ('hoping', 'second', 'one')]"
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,"[('less', 'spending', 'canceled'), ('spending', 'canceled', 'vacation'), ('canceled', 'vacation', 'going'), ('vacation', 'going', 'eat'), ('going', 'eat', 'less'), ('eat', 'less', 'stress'), ('less', 'stress', 'every'), ('stress', 'every', 'day'), ('every', 'day', 'life')]"
Could use it because husband had heart attack and isn't working,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Could use it because husband had heart attack and isn't working ,65+,"[('could', 'use', 'husband'), ('use', 'husband', 'heart'), ('husband', 'heart', 'attack'), ('heart', 'attack', 'working')]"
"Yes! I have no income, and I can’t go back to work as | work as a performer. | LOVE my job and I WANT to go to work. But I cant, and now I can’t pay rent or bills and am severely suffering financially. | need the extended $600 or I can’t survive another month. My job can’t come back until next  year!",41.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Yes! I have no income, and I can’t go back to work as | work as a performer. | LOVE my job and I WANT to go to work. But I cant, and now I can’t pay rent or bills and am severely suffering financially. | need the extended $600 or I can’t survive another month. My job can’t come back until next  year! ",35-44,"[('yes', 'income', 'go'), ('income', 'go', 'back'), ('go', 'back', 'work'), ('back', 'work', 'work'), ('work', 'work', 'performer'), ('work', 'performer', 'love'), ('performer', 'love', 'job'), ('love', 'job', 'want'), ('job', 'want', 'go'), ('want', 'go', 'work'), ('go', 'work', 'cant'), ('work', 'cant', 'pay'), ('cant', 'pay', 'rent'), ('pay', 'rent', 'bills'), ('rent', 'bills', 'severely'), ('bills', 'severely', 'suffering'), ('severely', 'suffering', 'financially'), ('suffering', 'financially', 'need'), ('financially', 'need', 'extended'), ('need', 'extended', '600'), ('extended', '600', 'survive'), ('600', 'survive', 'another'), ('survive', 'another', 'month'), ('another', 'month', 'job'), ('month', 'job', 'come'), ('job', 'come', 'back'), ('come', 'back', 'next'), ('back', 'next', 'year')]"
I'm broke,60.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I'm broke,55-64,[]
We have been behind on our bills,65.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We have been behind on our bills,65+,[]
Unprepared for school,47.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Unprepared for school,45-54,[]
"1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet.",31.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet. ",25-34,"[('1am', 'still', 'working'), ('still', 'working', 'pay'), ('working', 'pay', 'hours'), ('pay', 'hours', 'cut'), ('hours', 'cut', 'savings'), ('cut', 'savings', 'selling'), ('savings', 'selling', 'ever'), ('selling', 'ever', 'make'), ('ever', 'make', 'ends'), ('make', 'ends', 'meet')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
It has made paying medical bills difficult.,58.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has made paying medical bills difficult.,55-64,"[('made', 'paying', 'medical'), ('paying', 'medical', 'bills'), ('medical', 'bills', 'difficult')]"
Increased debt,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Increased debt,55-64,[]
"We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet.",51.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?     We are on disability and are having a hard time making ends meet. We have to choose between food and medication. We had paid for strawberry money into our morgagate escrow account to have money for our taxes and they took that money out and paid it on something else. We are struggling to buy food, medication and pay bills. We are hoping an extra stimulus check can help get us on our feet. ",45-54,"[('disability', 'hard', 'time'), ('hard', 'time', 'making'), ('time', 'making', 'ends'), ('making', 'ends', 'meet'), ('ends', 'meet', 'choose'), ('meet', 'choose', 'food'), ('choose', 'food', 'medication'), ('food', 'medication', 'paid'), ('medication', 'paid', 'strawberry'), ('paid', 'strawberry', 'money'), ('strawberry', 'money', 'morgagate'), ('money', 'morgagate', 'escrow'), ('morgagate', 'escrow', 'account'), ('escrow', 'account', 'money'), ('account', 'money', 'taxes'), ('money', 'taxes', 'took'), ('taxes', 'took', 'money'), ('took', 'money', 'paid'), ('money', 'paid', 'something'), ('paid', 'something', 'else'), ('something', 'else', 'struggling'), ('else', 'struggling', 'buy'), ('struggling', 'buy', 'food'), ('buy', 'food', 'medication'), ('food', 'medication', 'pay'), ('medication', 'pay', 'bills'), ('pay', 'bills', 'hoping'), ('bills', 'hoping', 'extra'), ('hoping', 'extra', 'stimulus'), ('extra', 'stimulus', 'check'), ('stimulus', 'check', 'help'), ('check', 'help', 'get'), ('help', 'get', 'us'), ('get', 'us', 'feet')]"
Alot trying to get out of an abusive relationship,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Alot trying to get out of an abusive relationship ,35-44,"[('alot', 'trying', 'get'), ('trying', 'get', 'abusive'), ('get', 'abusive', 'relationship')]"
1am about to start school in the fall and my on campus job is no longer available so | need as much financial help as | can get.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1am about to start school in the fall and my on campus job is no longer available so | need as much financial help as | can get.    ,18-24,"[('1am', 'start', 'school'), ('start', 'school', 'fall'), ('school', 'fall', 'campus'), ('fall', 'campus', 'job'), ('campus', 'job', 'longer'), ('job', 'longer', 'available'), ('longer', 'available', 'need'), ('available', 'need', 'much'), ('need', 'much', 'financial'), ('much', 'financial', 'help'), ('financial', 'help', 'get')]"
"If it was not for aid, | would not know how our family would make it.",64.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  If it was not for aid, | would not know how our family would make it.    ",55-64,"[('aid', 'would', 'know'), ('would', 'know', 'family'), ('know', 'family', 'would'), ('family', 'would', 'make')]"
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
Not enough to pay bills,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not enough to pay bills,55-64,"[('enough', 'pay', 'bills')]"
I'm behind on bills,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm behind on bills,18-24,[]
HAVING TO WATCH PENNYS CLOSERS,35.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  HAVING TO WATCH PENNYS CLOSERS,35-44,"[('watch', 'pennys', 'closers')]"
Behind on rent,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on rent,35-44,[]
Less money for needs,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less money for needs,25-34,"[('less', 'money', 'needs')]"
"I have to search harder for some items, and pay more",67.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have to search harder for some items, and pay more ",65+,"[('search', 'harder', 'items'), ('harder', 'items', 'pay')]"
Bills are really tight,27.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Bills are really tight,25-34,"[('bills', 'really', 'tight')]"
It has made me a little more depressed,52.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me a little more depressed,45-54,"[('made', 'little', 'depressed')]"
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
Broke,49.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Broke,45-54,[]
I havent had food every night ive went a week without food.,18.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I havent had food every night ive went a week without food. ,18-24,"[('havent', 'food', 'every'), ('food', 'every', 'night'), ('every', 'night', 'ive'), ('night', 'ive', 'went'), ('ive', 'went', 'week'), ('went', 'week', 'without'), ('week', 'without', 'food')]"
no food and housing,62.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  no food and housing,55-64,[]
It’s making things pretty tight. Hopefully there will be some relief,69.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief ,65+,"[('making', 'things', 'pretty'), ('things', 'pretty', 'tight'), ('pretty', 'tight', 'hopefully'), ('tight', 'hopefully', 'relief')]"
Very negative,40.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Very negative,35-44,[]
Struggling financially,32.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Struggling financially,25-34,[]
It has been devastating.,69.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  It has been devastating.,65+,[]
It has impacted me very badly,21.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has impacted me very badly,18-24,[]
Struggle to eat day to day,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Struggle to eat day to day,18-24,"[('struggle', 'eat', 'day'), ('eat', 'day', 'day')]"
My family has suffered,36.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My family has suffered,35-44,[]
1 am worried how we will pay our bills,23.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1 am worried how we will pay our bills,18-24,"[('worried', 'pay', 'bills')]"
Made me cut back on non essential purchases and carry over a couple bills.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Made me cut back on non essential purchases and carry over a couple bills. ,35-44,"[('made', 'cut', 'back'), ('cut', 'back', 'non'), ('back', 'non', 'essential'), ('non', 'essential', 'purchases'), ('essential', 'purchases', 'carry'), ('purchases', 'carry', 'couple'), ('carry', 'couple', 'bills')]"
It's very hard considering what I have to live on . A limited income . Food Stamps | only get $16.00 a month definitely no where near enough .,58.0,"Income: Under $25,000",How has losing or going without more aid impacted you?     It's very hard considering what I have to live on . A limited income . Food Stamps | only get $16.00 a month definitely no where near enough . ,55-64,"[('hard', 'considering', 'live'), ('considering', 'live', 'limited'), ('live', 'limited', 'income'), ('limited', 'income', 'food'), ('income', 'food', 'stamps'), ('food', 'stamps', 'get'), ('stamps', 'get', 'month'), ('get', 'month', 'definitely'), ('month', 'definitely', 'near'), ('definitely', 'near', 'enough')]"
| now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  | now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness. ,25-34,"[('barely', 'money', 'need'), ('money', 'need', 'pay'), ('need', 'pay', 'bills'), ('pay', 'bills', 'see'), ('bills', 'see', 'doctor'), ('see', 'doctor', 'receive'), ('doctor', 'receive', 'medication'), ('receive', 'medication', 'chronic'), ('medication', 'chronic', 'illness')]"
"Eat less, not drive as often",73.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  Eat less, not drive as often",65+,"[('eat', 'less', 'drive'), ('less', 'drive', 'often')]"
"1 am deeply upset with Trump and the Republican party for not expanding benefits, while giving tax cuts to the 1%. | should not have to beg our government to keep me alive.",19.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1 am deeply upset with Trump and the Republican party for not expanding benefits, while giving tax cuts to the 1%. | should not have to beg our government to keep me alive. ",18-24,"[('deeply', 'upset', 'trump'), ('upset', 'trump', 'republican'), ('trump', 'republican', 'party'), ('republican', 'party', 'expanding'), ('party', 'expanding', 'benefits'), ('expanding', 'benefits', 'giving'), ('benefits', 'giving', 'tax'), ('giving', 'tax', 'cuts'), ('tax', 'cuts', 'beg'), ('cuts', 'beg', 'government'), ('beg', 'government', 'keep'), ('government', 'keep', 'alive')]"
made life harder,47.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  made life harder,45-54,"[('made', 'life', 'harder')]"
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,"[('doctor', 'visits', 'postponed')]"
I need to get forgiven for my credit card payments for 2 months,57.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I need to get forgiven for my credit card payments for 2 months ,55-64,"[('need', 'get', 'forgiven'), ('get', 'forgiven', 'credit'), ('forgiven', 'credit', 'card'), ('credit', 'card', 'payments'), ('card', 'payments', '2'), ('payments', '2', 'months')]"
Broke,23.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Broke,18-24,[]
"1 am deeply upset with Trump and the Republican party for not expanding benefits, while giving tax cuts to the 1%. | should not have to beg our government to keep me alive.",19.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1 am deeply upset with Trump and the Republican party for not expanding benefits, while giving tax cuts to the 1%. | should not have to beg our government to keep me alive. ",18-24,"[('deeply', 'upset', 'trump'), ('upset', 'trump', 'republican'), ('trump', 'republican', 'party'), ('republican', 'party', 'expanding'), ('party', 'expanding', 'benefits'), ('expanding', 'benefits', 'giving'), ('benefits', 'giving', 'tax'), ('giving', 'tax', 'cuts'), ('tax', 'cuts', 'beg'), ('cuts', 'beg', 'government'), ('beg', 'government', 'keep'), ('government', 'keep', 'alive')]"
"It has made things more difficult, but I know | am fortunate compared to others",27.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  It has made things more difficult, but I know | am fortunate compared to others ",25-34,"[('made', 'things', 'difficult'), ('things', 'difficult', 'know'), ('difficult', 'know', 'fortunate'), ('know', 'fortunate', 'compared'), ('fortunate', 'compared', 'others')]"
I havent had food every night ive went a week without food.,18.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I havent had food every night ive went a week without food. ,18-24,"[('havent', 'food', 'every'), ('food', 'every', 'night'), ('every', 'night', 'ive'), ('night', 'ive', 'went'), ('ive', 'went', 'week'), ('went', 'week', 'without'), ('week', 'without', 'food')]"
yes medical bills are rising,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  yes medical bills are rising,55-64,"[('yes', 'medical', 'bills'), ('medical', 'bills', 'rising')]"
give me some mony,42.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  give me some mony,35-44,[]
Ihave had to use savings money to help with childcare,38.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Ihave had to use savings money to help with childcare ,35-44,"[('ihave', 'use', 'savings'), ('use', 'savings', 'money'), ('savings', 'money', 'help'), ('money', 'help', 'childcare')]"
I still feel like I’m struggling,45.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I still feel like I’m struggling,45-54,"[('still', 'feel', 'like'), ('feel', 'like', 'struggling')]"
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,"[('food', 'difficult', 'purchase'), ('difficult', 'purchase', 'expensive'), ('purchase', 'expensive', 'ca'), ('expensive', 'ca', 'find')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
Makes it difficult to make ends meet,55.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Makes it difficult to make ends meet,55-64,"[('makes', 'difficult', 'make'), ('difficult', 'make', 'ends'), ('make', 'ends', 'meet')]"
Im struggling finicially,32.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Im struggling finicially,25-34,"[('im', 'struggling', 'finicially')]"
We are unable to pay our mortgage this month. We literally have no money,39.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are unable to pay our mortgage this month. We literally have no money ,35-44,"[('unable', 'pay', 'mortgage'), ('pay', 'mortgage', 'month'), ('mortgage', 'month', 'literally'), ('month', 'literally', 'money')]"
I have a significant loss in income,40.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  I have a significant loss in income,35-44,"[('significant', 'loss', 'income')]"
"I'm surviving barely, but doing it. If any little thing goes wrong, I'm screwed.",50.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?     I'm surviving barely, but doing it. If any little thing goes wrong, I'm screwed.    ",45-54,"[('surviving', 'barely', 'little'), ('barely', 'little', 'thing'), ('little', 'thing', 'goes'), ('thing', 'goes', 'wrong'), ('goes', 'wrong', 'screwed')]"
It's just something | have to deal with and find a way to stick this out until things turn around,48.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  It's just something | have to deal with and find a way to stick this out until things turn around ,45-54,"[('something', 'deal', 'find'), ('deal', 'find', 'way'), ('find', 'way', 'stick'), ('way', 'stick', 'things'), ('stick', 'things', 'turn'), ('things', 'turn', 'around')]"
Some bills haven't gotten paid.,66.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Some bills haven't gotten paid.,65+,"[('bills', 'gotten', 'paid')]"
im havi g to cut back on non esential purchases,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  im havi g to cut back on non esential purchases ,55-64,"[('im', 'havi', 'g'), ('havi', 'g', 'cut'), ('g', 'cut', 'back'), ('cut', 'back', 'non'), ('back', 'non', 'esential'), ('non', 'esential', 'purchases')]"
I havent had food every night ive went a week without food.,18.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I havent had food every night ive went a week without food. ,18-24,"[('havent', 'food', 'every'), ('food', 'every', 'night'), ('every', 'night', 'ive'), ('night', 'ive', 'went'), ('ive', 'went', 'week'), ('went', 'week', 'without'), ('week', 'without', 'food')]"
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,"[('paying', 'bills', 'difficult'), ('bills', 'difficult', 'make'), ('difficult', 'make', 'ends'), ('make', 'ends', 'meet')]"
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,[]
I could use another stimulus check to pay property taxes,56.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I could use another stimulus check to pay property taxes ,55-64,"[('could', 'use', 'another'), ('use', 'another', 'stimulus'), ('another', 'stimulus', 'check'), ('stimulus', 'check', 'pay'), ('check', 'pay', 'property'), ('pay', 'property', 'taxes')]"
Behind on rent,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on rent,35-44,[]
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,"[('fine', 'hoping', 'second'), ('hoping', 'second', 'one')]"
1 am cutting back all spending to the bare necessities and looking for a job without much succes,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1 am cutting back all spending to the bare necessities and looking for a job without much succes ,55-64,"[('cutting', 'back', 'spending'), ('back', 'spending', 'bare'), ('spending', 'bare', 'necessities'), ('bare', 'necessities', 'looking'), ('necessities', 'looking', 'job'), ('looking', 'job', 'without'), ('job', 'without', 'much'), ('without', 'much', 'succes')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
My income was low to begin so any help would be appreciated.,86.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My income was low to begin so any help would be appreciated. ,65+,"[('income', 'low', 'begin'), ('low', 'begin', 'help'), ('begin', 'help', 'would'), ('help', 'would', 'appreciated')]"
living off my savings,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  living off my savings,55-64,[]
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,"[('dont', 'eat', 'much'), ('eat', 'much', 'putting'), ('much', 'putting', 'repairs'), ('putting', 'repairs', 'car'), ('repairs', 'car', 'ignoring'), ('car', 'ignoring', 'bills'), ('ignoring', 'bills', 'hurts'), ('bills', 'hurts', 'credit')]"
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,[]
i think we need a second check,46.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  i think we need a second check,45-54,"[('think', 'need', 'second'), ('need', 'second', 'check')]"
IT'S BEEN HARD ON ALL OF US.,66.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  IT'S BEEN HARD ON ALL OF US.,65+,[]
It has made financial decisions stressful.,44.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made financial decisions stressful.,35-44,"[('made', 'financial', 'decisions'), ('financial', 'decisions', 'stressful')]"
Can't support my family,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't support my family,55-64,"[('ca', 'support', 'family')]"
Not being able to pay mortage,32.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not being able to pay mortage,25-34,"[('able', 'pay', 'mortage')]"
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,"[('still', 'owe', 'landlord'), ('owe', 'landlord', '1000')]"
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,"[('broke', 'savings', 'left')]"
It has been very hard on my family,42.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has been very hard on my family,35-44,[]
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,[]
it is more losing,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  it is more losing,35-44,[]
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,"[('much', 'extra', 'person'), ('extra', 'person', 'help'), ('person', 'help', 'ne'), ('help', 'ne', 'lost'), ('ne', 'lost', 'job')]"
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,"[('money', 'gotten', 'tight'), ('gotten', 'tight', 'paycheck'), ('tight', 'paycheck', 'paycheck'), ('paycheck', 'paycheck', 'added'), ('paycheck', 'added', 'cone'), ('added', 'cone', 'ppe')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
negatively,20.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  negatively,18-24,[]
Makes me more depressed,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Makes me more depressed,35-44,[]
Money is tight.,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Money is tight.,55-64,[]
"paying a lot more for food,",60.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  paying a lot more for food,",55-64,"[('paying', 'lot', 'food')]"
Can't buy goods.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't buy goods.,18-24,"[('ca', 'buy', 'goods')]"
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,"[('sure', 'yet', 'worried')]"
