response,age,income,response_pt_2,age_range,tokens
Not being able to pay mortage,32.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not being able to pay mortage,25-34,able
Not being able to pay mortage,32.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not being able to pay mortage,25-34,pay
Not being able to pay mortage,32.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not being able to pay mortage,25-34,mortage
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,owe
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,landlord
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,$
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,1000
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,broke
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,savings
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,left
It has been very hard on my family,42.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has been very hard on my family,35-44,hard
It has been very hard on my family,42.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has been very hard on my family,35-44,family
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,terribly
Terribly miserable,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Terribly miserable,25-34,miserable
it is more losing,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  it is more losing,35-44,losing
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,extra
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,person
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,help
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,ne
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,lost
Very much. | have an extra person who i have to help ne has lost his job,59.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Very much. | have an extra person who i have to help ne has lost his job ,55-64,job
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,money
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,gotten
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,tight
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,paycheck
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,paycheck
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,added
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,cone
Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE . ,55-64,ppe
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,m.h
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,ade
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,harder
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,able
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,eat
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,right
negatively,20.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  negatively,18-24,negatively
Makes me more depressed,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Makes me more depressed,35-44,makes
Makes me more depressed,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Makes me more depressed,35-44,depressed
Money is tight.,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Money is tight.,55-64,money
Money is tight.,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Money is tight.,55-64,tight
"paying a lot more for food,",60.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  paying a lot more for food,",55-64,paying
"paying a lot more for food,",60.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  paying a lot more for food,",55-64,lot
"paying a lot more for food,",60.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  paying a lot more for food,",55-64,food
Can't buy goods.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't buy goods.,18-24,buy
Can't buy goods.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't buy goods.,18-24,goods
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,sure
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,worried
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,great
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,hard
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,bills
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,monthly
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,subscriptions
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,let
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,things
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,need
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,like
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,food
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,toilet
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,paper
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,etc
Horrible,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Horrible,25-34,horrible
It’s made paying rent near impossible,20.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It’s made paying rent near impossible,18-24,paying
It’s made paying rent near impossible,20.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It’s made paying rent near impossible,18-24,rent
It’s made paying rent near impossible,20.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It’s made paying rent near impossible,18-24,near
It’s made paying rent near impossible,20.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It’s made paying rent near impossible,18-24,impossible
It has meade it hard. I'm really struggling.,43.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has meade it hard. I'm really struggling.,35-44,meade
It has meade it hard. I'm really struggling.,43.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has meade it hard. I'm really struggling.,35-44,hard
It has meade it hard. I'm really struggling.,43.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has meade it hard. I'm really struggling.,35-44,struggling
Not a lot of food,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not a lot of food,18-24,lot
Not a lot of food,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not a lot of food,18-24,food
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,money
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,pay
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,bills
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,currently
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,borrowing
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,money
We’re behind on bills,46.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  We’re behind on bills,45-54,bills
Way behind on everything,28.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Way behind on everything,25-34,way
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,lam
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,currently
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,employed
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,partner
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,stays
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,home
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,3
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,year
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,old
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,daughter
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,half
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,income
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,extra
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,$
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,600
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,unemployment
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,ended
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,hurts
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,buying
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,food
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,needed
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,hard
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,pay
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,bills
Less money,53.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Less money,45-54,money
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,food
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,difficult
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,purchase
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,expensive
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,find
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,paying
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,bills
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,difficult
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,ends
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,meet
"It's been difficult, as our hours have been cut at work.",29.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work. ",25-34,difficult
"It's been difficult, as our hours have been cut at work.",29.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work. ",25-34,hours
"It's been difficult, as our hours have been cut at work.",29.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work. ",25-34,cut
"It's been difficult, as our hours have been cut at work.",29.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work. ",25-34,work
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,challenge
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,meet
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,monthly
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,bills
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,nt
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,eat
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,putting
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,repairs
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,car
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,ignoring
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,bills
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,hurts
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,credit
I'm fucked,38.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm fucked,35-44,fucked
1 am worried how we will pay our bills,23.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1 am worried how we will pay our bills,18-24,worried
1 am worried how we will pay our bills,23.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1 am worried how we will pay our bills,18-24,pay
1 am worried how we will pay our bills,23.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1 am worried how we will pay our bills,18-24,bills
We aren't able to pay our bills on time,29.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We aren't able to pay our bills on time,25-34,able
We aren't able to pay our bills on time,29.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We aren't able to pay our bills on time,25-34,pay
We aren't able to pay our bills on time,29.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We aren't able to pay our bills on time,25-34,bills
We aren't able to pay our bills on time,29.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We aren't able to pay our bills on time,25-34,time
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,late
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,paying
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,bills
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,lam
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,self
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,employed
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,artist
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,art
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,sales
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,hardship
IT'S BEEN HARD ON ALL OF US.,66.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  IT'S BEEN HARD ON ALL OF US.,65+,hard
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,broke
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,savings
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,left
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,having
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,trouble
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,trying
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,ends
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,meet
