0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  im struggling to make ends meet Age: 25, Income: $25,000 - $50,000  This person is represented by Steve King (R, IA- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  i cannot afford my medications Age: 70, Income: $75,001 - $100,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hurts when shopping for groceries as prises are high  Age: 61, Income: Under $25,000  This person is represented by Lisa Blunt Rochester (D, DE-01), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief  Age: 69, Income: $50,001 - $75,000  This person is represented by David Mckinley (R, WV-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has impacted me very badly Age: 21, Income: $25,000 - $50,000  This person is represented by Jason Smith (R, MO-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me tighten my budget Age: 42, Income: $100,001 - $150,000  This person is represented by Mary Gay Scanlon (D, PA-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills  Age: 58, Income: $25,000 - $50,000  This person is represented by Frank James Sensenbrenner (R, WI-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  No food Age: 20, Income: $50,001 - $75,000  This person is represented by Anthony Brindisi (D, NY-22), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  very hard, it makes paying bills and buying grocerys difficult as well as trying to get things fixed that break down      Age: 66, Income: $25,000 - $50,000  This person is represented by David Kustoff (R, TN-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  i cannot afford my medications Age: 70, Income: $75,001 - $100,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work.  Age: 29, Income: $25,000 - $50,000  This person is represented by Michael R. Turner (R, OH-10), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Scary to see if | have money to pay my bills Age: 62, Income: $50,001 - $75,000  This person is represented by Debra Haaland (D, NM-01), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Behind on rent Age: 44, Income: Under $25,000  This person is represented by Conor Lamb (D, PA- 17), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me anxious. Age: 65, Income: $25,000 - $50,000  This person is represented by Hank Johnson (D, GA-04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Can barely buy what we need Age: 65, Income: $25,000 - $50,000  This person is represented by Billy Long (R, MO- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We need a new stimulus. We needed assistance with our light bill. It was off a week. My water is now off.  Age: 48, Income: Under $25,000  This person is represented by Tom Cole (R, OK- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am unable to pay bills and unable to afford food and necessities  Age: 26, Income: $25,000 - $50,000  This person is represented by Liz Cheney (R, WY- 01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship  Age: 71, Income: $25,000 - $50,000  This person is represented by Bill Posey (R, FL- 08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I don't have enough rent Age: 23, Income: $25,000 - $50,000  This person is represented by Michael Thompson (D, CA-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up Age: 36, Income: $25,000 - $50,000  This person is represented by John Henry Rutherford (R, FL-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income  Age: 39, Income: Under $25,000  This person is represented by John Bergman (R, MI-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have had to eliminate all non-essential spending to hopefully stretch my current savings long enough to find a new job.  Age: 43, Income: $25,000 - $50,000  This person is represented by Marcia L. Fudge (D, OH-11), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  | now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness.  Age: 33, Income: $25,000 - $50,000  This person is represented by James Baird (R, IN- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Im spending alot less and eating cheaper food  Age: 25, Income: $25,000 - $50,000  This person is represented by Vernon G. Buchanan (R, FL-16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it has hurt my family Age: 44, Income: $25,000 - $50,000  This person is represented by Ted Yoho (R, FL-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  broke Age: 61, Income: $25,000 - $50,000  This person is represented by Michael Thompson (D, CA-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Increased debt Age: 61, Income: Under $25,000  This person is represented by Rodney Davis (R, IL-13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Struggling month to month Age: 34, Income: Under $25,000  This person is represented by David Joyce (R, OH- 14), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We've had to either find a cheaper version of something or go without  Age: 38, Income: Under $25,000  This person is represented by John Bergman (R, MI-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen  Age: 63, Income: $50,001 - $75,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My income has been cut in half Age: 34, Income: More than $150,000  This person is represented by Carolyn Bosher Maloney (D, NY-12), who VOTED FOR the HEROES. Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive.  Age: 48, Income: Under $25,000  This person is represented by Matthew L. II Gaetz (R, FL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been tight Age: 33, Income: $100,001 - $150,000  This person is represented by Bradley Byrme (R, ‘AL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive.  Age: 48, Income: Under $25,000  This person is represented by Matthew L. II Gaetz (R, FL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Evicted Age: 59, Income: Under $25,000  This person is represented by Austin Scott (R, GA-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm fucked Age: 38, Income: $25,000 - $50,000  This person is represented by Anthony Brindisi (D, NY-22), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Unable to pay bills Age: 27, Income: $75,001 - $100,000  This person is represented by Kay Granger (R, TX-12), who ABSTAINED FROM VOTING FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It makes it very difficult to consider buying household goods and food I need  Age: 58, Income: $25,000 - $50,000  This person is represented by Angela Craig (D, MN-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  POORLY, WE NEED IT, PEOPLE ARE NOT BACK TO WORK YET, EVERYTHING IS STILL SHUT DOWN BECAUSE PEOPLE ARE STILL  SICK BECAUSE THE PRESIDENT AND HIS. ADMINISTRATION HANDLED COVID19 SO  POORLY  Age: 26, Income: $25,000 - $50,000  This person is represented by Dan Kildee (D, MI- 05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  negatively Age: 20, Income: $50,001 - $75,000  This person is represented by Darren Michael Soto (D, FL-09), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have had to eliminate all non-essential spending to hopefully stretch my current savings long enough to find a new job.  Age: 43, Income: $25,000 - $50,000  This person is represented by Marcia L. Fudge (D, OH-11), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am drowning. Every single bill | have is months past due and food is hard to come by  Age: 37, Income: Under $25,000  This person is represented by Elaine Luria (D, VA- 02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?     Going without more aid has been difficult. | have had reduced hours at work and could really use another stimulus check.  Age: 29, Income: $25,000 - $50,000  This person is represented by Brad Wenstrup (R, OH-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 Became Homeless Age: 31, Income: Under $25,000  This person is represented by Brian K. Fitzpatrick (R, PA-O1), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  we are getting by month by month but no savings and credit card purchases are higher no extras either  Age: 51, Income: $100,001 - $150,000  This person is represented by Anthony Gonzalez (R, OH-16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is a problem since I’m now on a two-week furlough and the unemployment isn’t enough to take care of my bills.  Age: 37, Income: $50,001 - $75,000  This person is represented by Carolyn Bosher Maloney (D, NY-12), who VOTED FOR the HEROES. Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My bills are going unpaid Age: 33, Income: $25,000 - $50,000  This person is represented by Ross Spano (R, FL- 15), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I need more help Age: 34, Income: Under $25,000  This person is represented by Dutch Ruppersberger (D, MD-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We're struggling to pay our bills Age: 47, Income: $50,001 - $75,000  This person is represented by John Joyce (R, PA- 13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s hard to get a job so it affects me a lot more  Age: 27, Income: $25,000 - $50,000  This person is represented by Jerrold Lewis Nadler (D, NY-10), who VOTED FOR the HEROES Act, which would have extended UI benefits and  provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  iam running short of money Age: 49, Income: Under $25,000  This person is represented by Frank James Sensenbrenner (R, WI-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are behind on bills. Age: 44, Income: Under $25,000  This person is represented by Virginia Ann Foxx (R, NC-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Could use it because husband had heart attack and isn't working  Age: 65, Income: $25,000 - $50,000  This person is represented by Mark Pocan (D, WI- 02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Severely problematic Age: 60, Income: Under $25,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Can barely buy what we need Age: 65, Income: $25,000 - $50,000  This person is represented by Billy Long (R, MO- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Debt got higher Age: 67, Income: Under $25,000  This person is represented by K. Michael Conaway (R, TX-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am about to start school in the fall and my on campus job is no longer available so | need as much financial help as | can get.     Age: 24, Income: Under $25,000  This person is represented by Hakeem Jeffries (D, NY-08), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided  additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right Age: 61, Income: Under $25,000  This person is represented by Denny Heck (D, WA-10), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  And made me fall super behind on my bills and put things like getting a new apartment on hold  Age: 31, Income: Under $25,000  This person is represented by Mike Kelly (R, PA- 16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Increased debt Age: 61, Income: Under $25,000  This person is represented by Rodney Davis (R, IL-13), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  paying a lot more for food, Age: 60, Income: $50,001 - $75,000  This person is represented by Emanuel Cleaver (D, MO-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  we are getting by month by month but no savings and credit card purchases are higher no extras either  Age: 51, Income: $100,001 - $150,000  This person is represented by Anthony Gonzalez (R, OH-16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit  Age: 69, Income: Under $25,000  This person is represented by Samuel Graves (R, MO-06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My family has suffered Age: 36, Income: Under $25,000  This person is represented by Gus Bilirakis (R, FL- 12), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stress with bill payments Age: 55, Income: $50,001 - $75,000  This person is represented by Marc Veasey (D, TX-33), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Been broke Age: 31, Income: $25,000 - $50,000  This person is represented by Mike Kelly (R, PA- 16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Very difficult Age: 56, Income: $25,000 - $50,000  This person is represented by Joseph Albert Ill Hollingsworth (R, IN-09), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Not k owing if your going to eat or lose your hoe  Age: 53, Income: Under $25,000  This person is represented by Ratil M. Grijalva (D, ‘AZ-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have used more of my savings on supplies and items needed for stay at home order  Age: 45, Income: $25,000 - $50,000  This person is represented by Louie Gohmert (R, TX-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  badly Age: 22, Income: $50,001 - $75,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Makes it difficult to make ends meet Age: 55, Income: Under $25,000  This person is represented by Martha Roby (R, AL-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Debt got higher Age: 67, Income: Under $25,000  This person is represented by K. Michael Conaway (R, TX-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Behind on bills need a lot of car repairs Age: 50, Income: Under $25,000  This person is represented by Bill Huizenga (R, MI-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I lost my home Age: 40, Income: $25,000 - $50,000  This person is represented by Joyce Beatty (D, OH-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been very stressful. Age: 21, Income: Under $25,000  This person is represented by Tom Rice (R, SC- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Evicted Age: 59, Income: Under $25,000  This person is represented by Austin Scott (R, GA-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Terrible Age: 31, Income: Under $25,000  This person is represented by Frank D. Lucas (R, OK-03), who ABSTAINED FROM VOTING FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Money is tight. Age: 56, Income: Under $25,000  This person is represented by Timothy J. Ryan (D, OH-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I could use another stimulus check to pay property taxes  Age: 56, Income: $50,001 - $75,000  This person is represented by Virginia Ann Foxx (R, NC-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  stressful Age: 42, Income: More than $150,000  This person is represented by Joyce Beatty (D, OH-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
